feature	effect_mean_diff	p_value	p_adj_bh	direction
f15491	2.740390862163622e-05	1.1221122424921347e-13	1.838468698099113e-09	up
f18382	5.285306647419929e-05	6.022557537539392e-14	1.838468698099113e-09	up
f4661	0.0004342275697163	2.1819480026707272e-09	1.97939203021706e-05	up
f4670	6.223682146355713e-06	3.020312546107574e-09	1.97939203021706e-05	up
f9452	5.142590071773156e-05	2.462700278831133e-09	1.97939203021706e-05	up
f25902	-3.987614840298193e-06	2.9641184497058938e-08	0.0001618803889332	down
f10149	5.73991218698211e-06	3.5553747664717295e-08	0.0001664321719253	up
f32137	2.7089394516224273e-05	4.5144655134877104e-08	0.0001849125074324	up
f10937	3.073325507830304e-05	5.991084018610489e-08	0.0002181287123575	up
f10379	6.316777521533367e-06	8.460854023098133e-08	0.0002772452646288	up
f31928	2.620555254543433e-05	1.548746568698993e-07	0.0004613575233011	up
f13838	5.408100450767961e-05	4.06550043953954e-07	0.0011101526533569	up
f15532	0.0022383147267319	5.218548138260525e-07	0.0013153952722655	up
f2456	2.7366256703317052e-05	5.897427578621061e-07	0.0013803350492589	up
f460	4.917313570331317e-06	7.590355364572932e-07	0.0016235190016707	up
